gen,bespoke_zilch,bespoke_full,comp
1,0.99,0.0,0.01
2,0.5156054505037244,0.45451568061756303,0.029878868878712377
3,0.4665112259691498,0.44770184321432915,0.0857869308165209
4,0.35080776480073095,0.42811004003501923,0.22108219516424976
5,0.17194327524361058,0.3779819005691659,0.4500748241872236
6,0.04733269438702011,0.2836871240400466,0.6689801815729343
7,0.012315134622798998,0.18121889652824041,0.806465968848961
8,0.0049478363096801675,0.11003417595672793,0.8850179877335917
9,0.002863187874486615,0.06681176479557716,0.9303250473299359
10,0.002069101675570695,0.04099916677873214,0.9569317315456972
11,0.0017040912835491555,0.025531656258372018,0.9727642524580787
